ndeg_auto;dep;nom;region_administrative;adresse;code_insee;commune;situation_geographique;ecrans;fauteuils;tranche_d_entrees;proprietaire;programmateur;categorie_art_et_essai;label_art_et_essai;genre;multiplexe;population_de_la_commune_2015;unite_urbaine_2010;population_unite_urbaine_2015;semaines_d_activite_2020;seances_2020;entrees_2020;entrees_2019;evolution_entrees_2020_2019;art_et_essai;nombre_de_films_programmes_2020;nombre_de_films_inedits_2020;nombre_de_films_en_semaine_1_2020;pdm_en_entrees_des_films_francais_2020;pdm_en_entrees_des_films_americains_2020;pdm_en_entrees_des_films_europeens_2020;pdm_en_entrees_des_autres_films_2020;films_art_et_essai_2020;part_des_seances_de_films_art_et_essai_2020;pdm_en_entrees_des_films_art_et_essai_2020;geo
883.0;75;CHRISTINE CINEMA CLUB;ILE-DE-FRANCE;4 RUE CHRISTINE;75106;Paris 6e Arrondissement;01-Paris;2;234;De 30 à 40 000 entrées;TRIOMPH CINEMA;;A;PR;FIXE;NON;42428.0;Paris;10706072.0;30.0;1719.0;30183.0;56566.0;-46.6410918219425;OUI;242.0;5.0;2.0;8.246694256586252;74.78214057400491;15.245112883146597;1.7260522862622387;223.0;92.37929028504944;90.52858248376569;48.854455,2.340132
891.0;75;ST GERMAIN DES PRES;ILE-DE-FRANCE;22 RUE GUILLAUME APOLLINAIRE;75106;Paris 6e Arrondissement;01-Paris;1;252;De 5 à 10 000 entrées;CINEMA LE BILBOQUET;;A;;FIXE;NON;42428.0;Paris;10706072.0;11.0;250.0;5017.0;15366.0;-67.34999349212546;OUI;31.0;11.0;0.0;58.820011959338245;8.33167231413195;10.843133346621487;22.005182379908312;25.0;80.0;76.878612716763;48.85467,2.333052
1031.0;75;PUBLICIS ELYSEES;ILE-DE-FRANCE;133 AV DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;01-Paris;2;609;De 10 à 20 000 entrées;EUROPALACES ETOILE;;NON;;FIXE;NON;36694.0;Paris;10706072.0;29.0;1852.0;19663.0;53875.0;-63.50255220417633;NON;108.0;63.0;26.0;36.263910131322184;35.5941142344813;9.661937661515744;18.480037972680766;52.0;58.639308855291574;55.02346922630663;48.872794,2.296984
1392.0;75;L'ARCHIPEL;ILE-DE-FRANCE;17 BD DE STRASBOURG;75110;Paris 10e Arrondissement;01-Paris;2;204;De 10 à 20 000 entrées;PARIS CINE;;A;RDJPPR;FIXE;NON;91770.0;Paris;10706072.0;18.0;848.0;12905.0;36968.0;-65.09143042631464;OUI;122.0;36.0;1.0;64.08742967813336;10.39380245319561;11.749515816655908;13.769252052015124;109.0;86.08490566037736;95.075163700083;48.870455,2.35466
1393.0;75;LE BRADY;ILE-DE-FRANCE;39 BOULEVARD DE STRASBOURG;75110;Paris 10e Arrondissement;01-Paris;2;139;De 30 à 40 000 entrées;SOCIETE THEATRE LE BRADY;;A;RDJPPR;FIXE;NON;91770.0;Paris;10706072.0;31.0;2785.0;34632.0;73963.0;-53.176588294147074;OUI;234.0;60.0;1.0;46.50728427344042;15.928900510521729;16.056530942597437;21.50728427344042;174.0;78.92280071813286;84.7061387124891;48.871771,2.355398
1681.0;75;UGC CINE CITE LES HALLES;ILE-DE-FRANCE;101 RUE BERGER;75101;Paris 1er Arrondissement;01-Paris;27;3894;De 1 à 1,5 million d'entrées;UGC CINE CITE ILE DE FRANCE;UGC DIFFUSION;NON;;FIXE;OUI;16545.0;Paris;10706072.0;31.0;36212.0;1082659.0;3012613.0;-64.06246006373868;NON;372.0;221.0;217.0;38.95595129135519;37.70134594566969;14.584159933840986;8.758542829134125;207.0;52.79189219043411;50.5193761353658;48.861424,2.345829
1791.0;75;LUMINOR HOTEL DE VILLE;ILE-DE-FRANCE;20 RUE DU TEMPLE;75104;Paris 4e Arrondissement;01-Paris;2;238;De 30 à 40 000 entrées;CARLOTTA CINEMAS;;A;RDJP;FIXE;NON;27146.0;Paris;10706072.0;30.0;1713.0;33837.0;86030.0;-60.66837149831454;OUI;147.0;43.0;17.0;38.120069969305916;18.85540776923331;12.620878576850721;30.403643684610053;104.0;66.43315820198482;78.80128057031585;48.858689,2.353591
2251.0;75;MAJESTIC PASSY;ILE-DE-FRANCE;18 - 20 RUE DE PASSY;75116;Paris 16e Arrondissement;01-Paris;3;617;De 40 à 50 000 entrées;LES ECRANS DE PARIS;;NON;;FIXE;NON;165487.0;Paris;10706072.0;29.0;2581.0;42641.0;154753.0;-72.44576841805974;NON;101.0;51.0;28.0;50.828103851359664;39.26172019195275;7.126861080349453;2.783314876338132;64.0;55.44362650135606;63.841515934539196;48.858204,2.282104
2543.0;75;MAC MAHON;ILE-DE-FRANCE;5/7 AV MAC MAHON;75117;Paris 17e Arrondissement;01-Paris;1;137;De 2 à 5 000 entrées;CINEMA MAC MAHON;;NON;;FIXE;NON;168533.0;Paris;10706072.0;10.0;187.0;3846.0;15631.0;-75.39504830145223;NON;15.0;0.0;0.0;45.47581903276131;28.939157566302654;24.570982839313572;1.014040561622465;15.0;100.0;100.0;48.875715,2.294655
2982.0;75;CAUMARTIN;ILE-DE-FRANCE;101 RUE ST LAZARE;75109;Paris 9e Arrondissement;01-Paris;5;501;De 50 à 80 000 entrées;CINEVOG SARL;;A;;FIXE;NON;59408.0;Paris;10706072.0;29.0;4853.0;78870.0;213401.0;-63.04141030266962;OUI;74.0;67.0;65.0;64.64542774269788;12.694414934886664;17.500029841125848;5.1601274812896145;59.0;85.47290335874716;78.70537259629732;48.87561,2.32791
3211.0;75;LE CINEMA DES CINEASTES;ILE-DE-FRANCE;7 AVENUE DE CLICHY;75117;Paris 17e Arrondissement;01-Paris;3;478;De 50 à 80 000 entrées;SARL DES AUTEURS REALISATEURS PRODUCTEURS ARP;SARL MC4 DISTRIBUTION;A;RDJP;FIXE;NON;168533.0;Paris;10706072.0;31.0;2657.0;70514.0;178817.0;-60.56638910170733;OUI;86.0;41.0;36.0;65.41074273347562;9.408157744446783;17.038384081276863;8.142715440800744;73.0;86.11215656755739;87.71529051068563;48.884303,2.326888
3222.0;75;PATHE WEPLER;ILE-DE-FRANCE;132 -140 BOULEVARD DE CLICHY;75118;Paris 18e Arrondissement;01-Paris;11;2077;De 200 à 300 000 entrées;LES CINEMAS PATHE GAUMONT;LES CINEMAS GAUMONT PATHE;NON;;FIXE;OUI;197580.0;Paris;10706072.0;31.0;10695.0;255340.0;693746.0;-63.19402201958641;NON;192.0;120.0;108.0;42.21997099894722;40.628488568420636;14.534294738096657;2.6172456945354865;57.0;33.52968676951847;34.519992849055484;48.883938,2.328034
3741.0;75;STUDIO 28;ILE-DE-FRANCE;10 RUE THOLOZE;75118;Paris 18e Arrondissement;01-Paris;1;172;De 10 à 20 000 entrées;STUDIO 28;;A;;FIXE;NON;197580.0;Paris;10706072.0;21.0;559.0;18127.0;52483.0;-65.4611969590153;OUI;104.0;69.0;0.0;48.61007623087063;35.32412449131656;8.500028658222043;7.56577061959076;70.0;68.33631484794276;70.90617298102826;48.886142,2.335342
4731.0;75;MK2 QUAI DE SEINE;ILE-DE-FRANCE;14 QUAI DE LA SEINE;75119;Paris 19e Arrondissement;01-Paris;6;992;De 150 à 200 000 entrées;MK2 QUAI DE SEINE;SA MK2 VISION;A;RDJP;FIXE;NON;185654.0;Paris;10706072.0;31.0;7384.0;172475.0;433102.0;-60.1768174702495;OUI;127.0;97.0;70.0;58.312836416782524;19.767345144310173;12.282108865361993;9.637709573545312;90.0;76.54387865655471;78.3029741322972;48.885073,2.371493
5691.0;75;MK2 GAMBETTA;ILE-DE-FRANCE;6 RUE BELGRAND;75120;Paris 20e Arrondissement;01-Paris;6;1140;De 100 à 150 000 entrées;MK2 CINEMAS;SA MK2 VISION;NON;;FIXE;NON;195556.0;Paris;10706072.0;31.0;7166.0;144054.0;411805.0;-65.0188802952854;NON;141.0;77.0;55.0;49.78321162129041;32.63937163619685;13.060335251582018;4.517081490930721;95.0;64.65252581635501;66.39242638153321;48.864763,2.399555
5841.0;75;MK2 BASTILLE COTE FAUBOURG SAINT-ANTOINE;ILE-DE-FRANCE;5 RUE DU FAUBOURG ST ANTOINE;75111;Paris 11e Arrondissement;01-Paris;3;423;De 50 à 80 000 entrées;BASTILLE SAINT ANTOINE (DOUBLON N° 95 7200);SA MK2 VISION;A;RD;FIXE;NON;149834.0;Paris;10706072.0;31.0;3632.0;78853.0;184006.0;-57.14650609219265;OUI;51.0;39.0;29.0;74.64776229185954;4.943375648358337;14.398944872103788;6.009917187678338;38.0;88.90418502202643;90.47087618733592;48.853157,2.370719
5852.0;75;MAJESTIC BASTILLE;ILE-DE-FRANCE;4 BD RICHARD LENOIR;75111;Paris 11e Arrondissement;01-Paris;2;356;De 40 à 50 000 entrées;LES ECRANS DE PARIS;;A;RDJP;FIXE;NON;149834.0;Paris;10706072.0;31.0;2035.0;40402.0;112149.0;-63.97471221321634;OUI;110.0;43.0;28.0;44.84702506021627;29.09342489622303;17.81632757648747;8.243222467073233;82.0;84.96314496314497;84.82293855378465;48.860238,2.37214
5861.0;75;MK2 BASTILLE COTE BEAUMARCHAIS;ILE-DE-FRANCE;3 BD R LENOIR 4/6 BD BEAUMARCHAI;75111;Paris 11e Arrondissement;01-Paris;4;469;De 80 à 100 000 entrées;MK2 CINEMAS;SA MK2 VISION;A;RDJP;FIXE;NON;149834.0;Paris;10706072.0;31.0;4705.0;94158.0;274823.0;-65.73867543837306;OUI;73.0;55.0;40.0;43.98760397275456;23.332938783855038;22.497928615238934;10.181528628151463;53.0;68.69287991498406;68.89587121905029;48.854674,2.369381
6212.0;75;MK2 NATION;ILE-DE-FRANCE;133 BOULEVARD DIDEROT;75112;Paris 12e Arrondissement;01-Paris;6;551;De 100 à 150 000 entrées;MK2 CINEMAS;SA MK2 VISION;NON;;FIXE;NON;142340.0;Paris;10706072.0;31.0;7887.0;131257.0;42191.0;211.10189376881326;NON;96.0;77.0;52.0;54.17979236821279;31.405471671761763;12.816374668301236;1.5983612917242127;59.0;52.516799797134524;53.4628574975559;48.848213,2.39311
